매장명,주소,위도,경도
선릉역점,서울 강남구 테헤란로51길 7 (역삼동702-30),37.5045913560734,127.046717807021
선릉위워크점,서울특별시 강남구 대치동 889-41,37.5034460678709,127.049853212424
선릉점,"서울 강남구 언주로 98길 26 (역삼동 700-35), 1층",37.5047209328448,127.043866040548
선정릉점,"서울 강남구 선릉로 577 (역삼동 682-20) POS TOWER, 1층",37.5099241321324,127.043660972845
성수낙낙점,서울특별시 성동구 아차산로17길 48,37.5463937599992,127.065889477465
세관사거리점,서울 강남구 언주로 702 (논현동115-13),37.5158173780013,127.035743408393
센텀시티점,"부산광역시 해운대구 센텀동로 9, 1층 126호",35.1698704966296,129.132455662366
수내역점,주소 경기 성남시 분당구 수내로46번길 26,,
수서역점,"서울특별시 강남구 광평로 51길 8, 1층 111호",37.4883751535989,127.102475755025
수송미장점,"전라북도 군산시 수송동로 53, 1층",35.9642980273997,126.719429389445
숙대입구역점,서울특별시 용산구 갈월동 92 1층,37.5426939102789,126.971987803028
순천오천점,"전라남도 순천시 순천만정원로 86, 105호",34.9370448832845,127.495609994188
시흥은계점,"경기도 시흥시 은계번영길 11,111호",37.4374038066999,126.802160476001
신논현역점,서울 서초구 서초동 1303-1,37.5037687445193,127.02327987685
신중동점,경기도 부천시 원미구 중동 1149,37.5033338559509,126.769626926195
신촌로터리점,서울특별시 마포구 노고산동 57-14,37.5547368869209,126.93569641681
신촌역점,서울 서대문구 신촌로 113 1층,37.5559736844642,126.938569863979
신촌점,서울시 서대문구 창천동 13-29,37.5575225625537,126.937660011696
약수역점,서울시 중구 신당동 369-9,37.5545942958901,127.010243430287
양재역점,"서울 강남구 강남대로 240 (도곡동 953-1, 양재SK허브)",37.4852596091178,127.034429700831
양재이안점,"서울특별시 서초구 강남대로34길 7, 1층",37.4830322462208,127.036464509789
양재점,서울 서초구  강남대로 221  (양재동 23),37.4836850972087,127.034117823374
양천향교역점,"서울특별시 강서구 마곡중앙8로 5길 63, 1층 112호",37.5666164557397,126.838422664924
언주역점,서울시 강남구 역삼동 650,37.5071221337406,127.034263302485
여의도역점,서울특별시 영등포구 여의도동 26-1,37.523134539875,126.924512118889
여의도파크원점,"서울특별시 영등포구 여의대로 108, 파크원타워1 지하2층",37.5251913154781,126.929112756574
역삼대로점,서울 강남구 논현로 427-1 (역삼동 738-27),37.4984360958268,127.037754521265
역삼삼보점,서울특별시 강남구 역삼동 647-13,37.5004175245289,127.033484665766
역삼시티점,서울 강남구 논현로85길 52 B102호,37.4981873504904,127.033813318195
역삼역점,"서울 강남구 강남대로 94길 95 (역삼동 644-19), 1층",37.5011185335464,127.034948945727
역삼초교사거리점,서울 강남구 역삼동829-17,37.4942949547811,127.03366218327
역삼GFC점,"서울 강남구 테헤란로26길 10 (역삼동 736-55) 성보빌딩, 1층",37.4996347605088,127.035838830564
역삼GS점,서울 강남구 논현로 94길 13,37.5026360758715,127.037374605852
왕십리점,서울특별시 성동구 왕십리로 315,37.5617210789329,127.034237697854
용인수지구청점,경기도 용인시 수지구 수지로296번길 51-7,37.321873059473,127.094739353965
원주무실점,"강원도 원주시 능라동길 47, 1층",37.3343611913347,127.929200017682
위례중앙점,"서울특별시 송파구 위례광장로 120, 상가동 132호",37.4750100992712,127.141592563317
유성구청점,"대전광역시 유성구 어은로 56, 지상1층",36.3631920482962,127.356832875867
을지로3가역점,"서울시 중구 을지로 108, 1층 102호(을지로3가)",37.5660532816543,126.989956138386
을지병원사거리점,서울 강남구 논현동6-21,37.5184593128673,127.026051519479
의정부역점,"경기도 의정부시 시민로 123, 1층 (의정부동)",37.7385126706327,127.048900984956
인천동춘점,인천광역시 연수구 동춘동 936-1,37.4082493644145,126.671436127625
인천시청점,"인천광역시 남동구 인주대로 623번길 26, 1층 103호",37.451051453645,126.706642506431
잠실방이점,"서울특별시 송파구 오금로11길 65, 103호",37.5151303543718,127.114049905
잠실새내점,서울 송파구 석촌호수로 64 (잠실동 208-16),37.5106111999707,127.085567679947
장한평역점,"서울특별시 성동구 천호대로 380-7, 용답동 동우리즈힐스 101호",37.5615608750218,127.061221939829
정자역점,경기도 성남시 분당구 정자동 25-1 분당인텔리지1 제1층 킨스타워 101호,,
종각센트로폴리스점,서울특별시 종로구 우정국로 26 센트로폴리스,37.5716808092144,126.983530268891
중계은행사거리점,서울특별시 노원구 중계동 359-9,37.6517305595732,127.076796607725
중앙대점,서울특별시 동작구 흑석로 85,37.5072978759401,126.959086413646
진주보건대점,"경남 진주시 창렬로 104, 1층",35.1974494894287,128.068852140845
진주평거점,"경상남도 진주시 순환로 529, 1층 103호",35.1714405622101,128.061301512378
청담디아트점,"서울특별시 강남구 압구정로79길 32, 104-2호",,
청주금천점,충청북도 청주시 상당구 수영로289,36.6305161476717,127.505885638818
청주지웰시티몰점,"충청북도 청주시 흥덕구 대농로 47-1, 1층 102호",36.643339680739,127.427834972852
청진타워8점,서울시 종로구 청진동 128,37.5706940397471,126.980570626094
충무로역점,"서울특별시 중구 수표로 6길, 45, 1,2,3층 (충무로3가)",,
충무로점,서울특별시 중구 필동2가 21-1,37.5602472680798,126.996261870526
충주시청점,"충청북도 충주시 국원대로 206, 1층",36.9898909299191,127.928609456042
테헤란로점,서울 강남구 역삼동 718-2,37.5011075275992,127.039021583973
통영미수점,"경상남도 통영시 미수해안로 36, 상가동 1층 104호",34.8284561068934,128.407954100571
통일점,평양시 천리마대로 1,,
파인에비뉴점,서울시 중구 을지로2가 203,37.5657443851439,126.988579236471
페럼타워점,서울특별시 중구 수하동 66,37.5670594866965,126.983992879017
평촌학원가점,"경기도 안양시 동안구 평촌대로 121, 1층 101호",37.3828844017211,126.959739109434
포스코사거리점,서울 강남구 테헤란로 447,37.507123620717,127.056061361241
포이사거리점,서울시 서초구 양재동 276-6,37.4766822381236,127.045227554635
학동역점,서울 강남구 논현동 87-5,37.5144897400823,127.031332106284
한티역점,"서울 강남구 선릉로311, 한티빌딩 1층",37.4973342152953,127.052077839969
합정역점,서울 마포구 양화로 72,37.5508138163956,126.916493990351
홍대입구역사거리점,서울 마포구 양화로 129,37.5550607718839,126.920693732271
회기역사거리점,서울 동대문구 회기로 176 (회기동81),37.5901123083547,127.055380222021
AK금정점,경기도 군포시 금정동 689번지 AK플라자 금정점 2층,,
가산하이엔드10차점,,,
가산KM타워점,,,
거제옥포점,"경남 거제시 거제대로 3730, 2층 205호 206호",34.8897533396908,128.690772182855
압구정CGV점,"서울특별시 강남구 논현로 848, 압구정CGV 지상 1층(신사동)",37.5245744023832,127.0288370151
온양농협이순신점,,,
이천안흥점,,,
판교H스퀘어점,경기도 성남시 분당구 삼평동 681 엔동 1층 107호,37.4020668179304,127.10864661825
,,,
